我 经常 锻炼 ， 肌肉 也 很好 。 我 喜欢 穿 正式 的 衣服 。 我 秃顶 ， 胡须 浓密 。 我 喜欢 喜剧	我 最近 也 在 看 《 羞羞的铁拳 》 、 《 西红柿首富 》 ， 笑死 了 。	哈哈 哈 ， 对 的 我 也 喜欢 。
我 喜欢 和 女儿们 一起去 买东西 。 我 喜欢 做饭 。 我喜欢 和 朋友 聊天 。 我 爱 孩子 和 狗	那 你 在家 干 什么 ， 天天 在家 闲着 吗 ？	我 是 一个 家庭 主妇 。 我 平常 给 我 的 孩子们 做 做饭 ， 然后 遛遛 狗 。
我 有 两只 宠物狗 。 我 是 兽医 。 我 喜欢 狗 。 我 回老家 的 时候 不 带 狗 回去 。 我 妈妈 对 狗 过敏	我 最近 都 在 玩 电子 游戏 呢 。 在家 闲着 也 没事儿 干 。	好 吧 ， 我 要 带 着 狗 回家 了 。 到家 了 我们 再 聊 吧 。
我 是 个 健身 教练 。 我 最喜欢 的 歌手 是 邓紫棋 。 我的偶像 是 科比	因为 我 爸 是 生物学家 ， 我 对 生物学 很 感兴趣 的 ， 说说 你 吧 ， 做 什么 的 ？	我 是 个 健身 教练 ， 平时 在 健身房 的 时间 比较 多 。
我 做 了 很多年 护士 。 我 喜欢 做饭 。 我 曾 在 不同 的 城市生活 过 。 我 丈夫 是 个 推销员 。 我 有 一只 叫 旺财 的 猫	我 是 学 建筑设计 的 ， 你 在哪里 上班 呢 ？	我 在 医院 工作 ， 我 已经 做 了 很多年 护士 了 。
我 住在 农村 。 我 年纪 大 了 。 我 最喜欢 的 食物 是 炒面 。 我 是 个 老太太 。 我 退休 了 ， 我 有 更多 的 时间 陪 老伴 ， 帮助 别人	奶奶 好 乐观 啊 ， 你 都 这么 大 年纪 了 还 想着 帮助 别人 。	是 啊 ， 我 虽说 退休 了 但是 我 的 身体 还是 挺好 的 。
我还记得 民国 时候 的 事 。 我喜欢 喝酒 和 跳舞 。 我 想 永生	我 才 28岁 ， 我 这 还是 第一次 和 比 我 大 这么多 的 人 聊天 呢 。	你 就是 还 小 呢 ， 我 都 还记得 我 小时候 ， 也 就是 民国 时候 的 事 呢 。
我 打 篮球 。 我 北体 毕业 的 。 我 是 个 运动员 。 我 去年 入选 了 国家队 。 我 在 篮球队 年薪 100万	你 是 短跑 运动员 ？ 还是 羽毛球 ？ 还是 乒乓球 。	都 错 了 ， 我 是 一名 篮球 运动员 。
爷爷 带 我 去 买 冰淇淋 。 我 有 一只 叫 团子 的 猫 。 我喜欢 打篮球	你 有 什么 爱好 吗 ？	我 很喜欢 猫咪 ， 并且 我 养 了 一只 叫 团子 的 猫 。
我 只要 有 时间 就 去 钓鱼 。 我 最喜欢 的 乐队 是 beyond 。 我 经常 坐 一些 奇奇怪怪 的 梦 。 我 不会 在 一棵树 上 吊死	那 你 有 什么 喜欢 的 乐队 吗 ？	当然 有 ， 我 最喜欢 的 乐队 是 beyond 。
